,region,code,full_indicator_name,year,value
0,Arab World,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1960,
1,Arab World,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1960,
2,Arab World,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1960,
3,Arab World,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1960,
4,Arab World,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1960,
5,Arab World,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1960,
6,Arab World,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1960,49.63681023855
7,Arab World,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1960,
8,Arab World,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1960,
9,Arab World,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1960,
10,Arab World,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1960,
11,Arab World,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1960,
12,Caribbean small states,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1960,
13,Caribbean small states,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1960,
14,Caribbean small states,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1960,
15,Caribbean small states,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1960,
16,Caribbean small states,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1960,
17,Caribbean small states,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1960,
18,Caribbean small states,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1960,51.281001568503505
19,Caribbean small states,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1960,
20,Caribbean small states,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1960,
21,Caribbean small states,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1960,
22,Caribbean small states,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1960,
23,Caribbean small states,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1960,
24,East Asia & Pacific,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1960,
25,East Asia & Pacific,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1960,
26,East Asia & Pacific,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1960,
27,East Asia & Pacific,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1960,
28,East Asia & Pacific,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1960,
29,East Asia & Pacific,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1960,
